Id,  favVersion, Influence, largerFont, redFont, blinking, standard,confidenceLargerFont,attentionLargerFont1,attentionLargerFont2,search_strategyLargerFont,recognitionBiasLargerFont,autonomousLargerFont,reasonsResponsiveLargerFont,confidenceRedFont,attentionRedFont1,attentionRedFont2,search_strategyRedFont,recognitionBiasRedFont,autonomousRedFont,reasonsResponsiveRedFont,confidenceBlinking,attentionBlinking1,attentionBlinking2,search_strategyBlinking,recognitionBiasBlinking,autonomousBlinking,reasonsResponsiveBlinking,realism,relevancy,time,pressure
300,blinking,4,2,4,5,1,4,4,2,4,4,5,5,5,5,5,5,5,3,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,largerFont,2,5,4,2,4,4,3,1,2,4,2,4,5,1,3,5,4,3,4,,,,,,,,,,,
201,blinking,4,4,4,5,3,4,2,5,5,1,3,5,5,4,5,5,1,3,5,5,5,5,5,1,2,5,5,5,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,redFont,5,3,5,4,2,3,2,2,2,5,4,4,5,5,5,5,5,2,5,3,5,5,5,4,1,4,5,5,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,redFont,4,3,5,1,2,3,2,1,1,1,3,3,4,5,5,5,4,4,5,2,5,4,5,2,2,4,5,5,2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,blinking,5,4,4,5,2,4,4,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,redFont,4,3,5,2,4,3,2,1,4,4,4,5,5,5,5,4,3,5,5,3,4,2,2,4,5,5,5,5,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,blinking,5,4,4,5,1,5,4,5,1,1,4,4,5,4,4,1,1,4,4,5,5,4,2,1,5,5,5,5,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,redFont,4,4,5,1,3,4,2,1,1,1,4,5,4,5,1,5,1,2,5,2,5,1,5,1,2,5,3,1,5,4
507,noHighlighting,2,3,2,1,5,4,4,2,2,2,4,4,4,4,2,2,2,4,4,2,1,4,2,2,4,4,5,4,5,3
508,largerFont,4,4,3,4,5,4,3,2,2,3,3,3,3,4,2,4,3,3,3,3,4,4,4,2,3,3,4,5,5,3
509,blinking,5,1,4,5,5,4,4,5,3,4,2,4,5,5,5,3,2,2,5,5,5,5,5,3,3,5,4,5,4,2
510,redFont,5,5,5,2,3,5,5,5,5,3,5,5,5,5,5,4,3,5,5,4,5,2,5,3,4,4,5,5,5,4
511,largerFont,2,5,3,1,4,5,5,5,3,3,4,3,4,2,1,5,2,1,1,5,4,1,5,1,1,5,5,4,5,1
512,blinking,4,2,4,4,3,2,5,4,4,1,3,4,3,5,4,4,1,3,4,3,5,5,5,1,3,4,4,5,4,4
513,largerFont,4,5,1,1,3,5,5,4,2,3,4,2,1,5,2,1,1,2,5,1,5,1,1,1,1,5,5,5,2,5
514,redFont,5,3,5,4,4,3,4,3,3,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,4,4,4,5,4,2
515,blinking,4,5,5,5,1,1,4,5,5,2,3,4,5,4,4,4,3,3,4,5,5,4,5,5,5,4,5,5,2,2
516,redFont,5,4,5,2,5,5,4,5,5,3,5,5,5,5,5,5,4,5,5,5,5,4,5,3,5,4,2,5,3,4
517,redFont,3,1,4,1,4,2,1,1,2,1,4,4,4,2,1,3,2,4,5,4,4,1,4,2,2,4,5,4,4,4
